rating,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6
3,-1.404304344,-2.680370254,-1.107496891,0.22313193,0.16621426,1.178260619
5,-1.387214544,-2.618191413,-1.298064642,0.649484181,0.042929932,-0.036592674
5,-1.364849705,-2.702028345,-1.202591734,0.433529053,-0.133105964,-0.175181339
5,-1.405506084,-2.76669126,-1.024555344,0.025397701,-0.100673779,0.713440932
5,-1.39108853,-2.751439594,-1.063989006,0.028548218,-0.02613964,0.697458544
5,-1.341044733,-2.757504015,-1.118231732,0.158988945,-0.143526693,-0.00060765
5,-1.403816153,-2.702741633,-1.148002887,0.337986593,-0.0825243,0.356005615
1,-1.401039146,-2.63586147,-1.193815521,0.530181098,0.192752503,1.045680871
5,-1.355070218,-2.782045076,-1.102304782,0.175916811,-0.253090262,-0.152796467
5,-1.349822385,-2.760634923,-1.111884599,0.156595673,-0.149035709,0.043654403
2,-1.410683009,-2.724574675,-0.993510985,-0.297781254,1.636505251,2.680251115
5,-1.353916688,-2.786925825,-1.097496828,0.199279739,-0.301884353,-0.169173543
4,-1.384223343,-2.739354704,-1.063067386,-0.011120385,0.091111328,1.048285773
4,-1.381841392,-2.893280563,-0.755268154,-0.623322056,-0.064567043,1.223378191
1,-1.442706325,-2.603830091,-1.146563436,0.35736562,0.436127994,2.020481019
3,-1.372624548,-2.630382098,-1.282067732,0.66164629,0.060068367,0.185639855
1,-1.39049535,-2.692027405,-1.109405194,0.229858255,0.213575482,1.315804685
5,-1.362900214,-2.760431933,-1.095241537,0.122946446,-0.129088604,0.232770203
1,-1.403792486,-2.690549252,-1.027356739,0.145263832,0.280775003,1.325951876
5,-1.341209252,-2.853800887,-0.989275558,-0.076111207,-0.358556634,-0.026868966
1,-1.364258538,-2.770040033,-1.001117455,0.014347091,0.036626619,1.308737908
5,-1.342033445,-2.82372297,-1.001642569,-0.151548154,-0.173400582,0.341525065
4,-1.331153601,-2.833707108,-1.012877524,-0.122894226,-0.187232996,0.338022527
5,-1.372314751,-2.696357354,-1.201827906,0.409168516,-0.0820409,-0.055672026
5,-1.369933732,-2.686304562,-1.17992159,0.397594439,-0.062396974,0.161122603
5,-1.324366958,-2.761645262,-1.134690784,0.21353778,-0.196497462,-0.278957122
5,-1.344036035,-2.757191582,-1.131307056,0.162968571,-0.129983224,-0.008995008
1,-1.361441057,-2.846335875,-0.924704522,-0.259331043,-0.026536989,1.356892222
2,-1.398330304,-2.714756964,-1.064612266,0.282242696,-0.006385485,1.036587739
1,-1.413916153,-2.694657154,-1.016848219,-0.122281823,1.088589661,2.577237617
5,-1.361496884,-2.745762303,-1.090155817,0.092372965,-0.057965064,0.446730995
5,-1.336486225,-2.849085657,-1.030209228,-0.074214602,-0.32369336,-0.041571861
5,-1.364530531,-2.828561855,-0.986212621,-0.186088032,-0.164529818,0.556032396
5,-1.352165193,-2.782459735,-1.100829935,0.191888716,-0.27153978,-0.171156929
2,-1.391748433,-2.836724311,-0.851571824,-0.564364739,0.665357224,2.347683808
1,-1.422989383,-2.671513875,-1.075185396,0.108493002,0.368693155,2.06823145
1,-1.413133079,-2.67971399,-1.041758984,0.108116027,0.367619453,1.540306331
1,-1.368949398,-2.781035567,-0.982978432,0.021058899,-0.020561526,1.241825605
5,-1.348280501,-2.892270052,-0.900882622,-0.460805434,-0.205214965,0.718121452
5,-1.376648316,-2.769769554,-1.08396638,0.104667297,-0.160314193,0.330127027
1,-1.41758927,-2.755476901,-0.961143439,-0.148940083,0.233887445,2.063941701
5,-1.361188343,-2.753910151,-1.11730922,0.107204917,-0.080484898,0.275138504
5,-1.369589163,-2.633278745,-1.310531262,0.735271549,-0.091361321,-0.388138041
1,-1.370374834,-2.830063539,-0.911063775,-0.315208596,0.076004344,1.68458193
5,-1.400112354,-2.674617284,-1.126552807,0.250057731,0.130595848,0.383989948
1,-1.39313128,-2.703387088,-1.070439956,-0.010945328,0.894385702,2.052786119
5,-1.365828253,-2.841798138,-0.952677901,-0.159847799,-0.261475305,0.474416259
1,-1.392268656,-2.754516732,-0.994648264,-0.085322851,0.194283055,1.767852243
5,-1.366508621,-2.815359142,-0.991663827,-0.225748601,-0.077440175,0.734354501
4,-1.369833981,-2.831463123,-0.945753734,-0.22526193,-0.127347617,0.917788206
5,-1.35685487,-2.692507311,-1.23758556,0.445636272,-0.08285199,-0.211097979
1,-1.346392012,-2.835609239,-0.89857486,-0.383974523,0.385159585,1.80293125
1,-1.396949849,-2.695201403,-1.081524202,0.221093886,0.186924181,1.424307069
1,-1.414617747,-2.680569816,-1.085076351,0.149788788,0.299424173,1.869276033
5,-1.329017464,-2.913641403,-0.922266443,-0.365269648,-0.360520518,0.212938553
5,-1.369677149,-2.833747361,-0.964077183,-0.191388157,-0.192453348,0.579208066
3,-1.379139473,-2.682790719,-1.152913437,0.302163393,0.102233219,0.86806918
2,-1.407543444,-2.622224526,-1.159455752,0.46908477,0.265705719,0.842901034
1,-1.403300922,-2.628985859,-1.211807837,0.528483971,0.228645876,1.170289982
5,-1.346658339,-2.759554401,-1.140086235,0.168366563,-0.141305044,0.008301066
1,-1.387906272,-2.690505938,-1.113945697,0.23228345,0.207920247,1.366378376
5,-1.439211896,-2.691292235,-1.1140204,0.238256474,0.033953163,0.957735632
5,-1.373185238,-2.635279312,-1.31530391,0.733025202,-0.092676838,-0.379819801
2,-1.396321125,-2.680735067,-1.12155837,0.226358147,0.211348581,1.336045178
1,-1.351374821,-2.848990697,-0.876452908,-0.462445716,0.562762411,1.955015605
5,-1.408011264,-2.609431636,-1.280683542,0.595783941,0.108037877,0.398800153
5,-1.399006802,-2.750370071,-1.055437835,0.013396511,-0.01707001,0.846644982
1,-1.394786136,-2.706891158,-1.105523699,0.256208329,0.126360222,1.229599113
5,-1.361198209,-2.758686263,-1.101764498,0.117964004,-0.122649091,0.268248953
5,-1.378985623,-2.700846443,-1.15316552,0.397816523,-0.121841578,0.047368605
1,-1.387651359,-2.630632494,-1.191583403,0.559216266,0.174053675,1.023019365
5,-1.364083584,-2.760597313,-1.109833622,0.127692537,-0.124410819,0.229475153
5,-1.319923979,-2.759832492,-1.172026844,0.230840082,-0.190999088,-0.293847253
4,-1.336442863,-2.765811686,-1.118989312,0.176058451,-0.146798312,0.115933171
5,-1.342499657,-2.826954854,-1.023055177,-0.142096283,-0.180259368,0.279993083
5,-1.337829009,-2.697377891,-1.255061666,0.494426865,-0.141064372,-0.493266661
5,-1.322323356,-2.855908684,-1.04118775,-0.017143686,-0.405420756,-0.232975728
5,-1.354029323,-2.839065167,-1.00996619,-0.121570779,-0.258901275,0.359250156
5,-1.334885772,-2.846917508,-1.002420922,-0.070030375,-0.352545737,0.104315312
5,-1.380309982,-2.713510322,-1.179027016,0.431397447,-0.193101755,-0.055233226
5,-1.340755301,-2.847120049,-1.022661781,-0.083367198,-0.316439592,0.0728207
4,-1.359053925,-2.69636891,-1.186038335,0.419177619,-0.073159393,0.154172657
5,-1.382813452,-2.703703757,-1.173959456,0.401215499,-0.121306075,0.032526342
1,-1.390180799,-2.625432139,-1.198613538,0.538191656,0.214282822,1.118003242
5,-1.354463831,-2.706312668,-1.211331078,0.478052551,-0.181111899,-0.369180283
5,-1.371865903,-2.696366664,-1.178939842,0.419189495,-0.123396121,0.089446331
5,-1.350612181,-2.847248604,-0.977200445,-0.106156865,-0.326080374,0.263160823
4,-1.378429607,-2.682542661,-1.16794858,0.335848587,0.045073404,0.559595268
5,-1.353800222,-2.693028018,-1.227039984,0.453270574,-0.11192453,-0.158007208
5,-1.354338083,-2.688386459,-1.222333791,0.446970069,-0.086742776,-0.112458713
5,-1.332309704,-2.756077015,-1.15133596,0.189610546,-0.150054344,-0.090291694
4,-1.346994407,-2.773354094,-1.078381008,0.160660537,-0.199347833,0.27874929
5,-1.32333147,-2.84604189,-1.057675539,-0.038179262,-0.328367806,-0.184686029
5,-1.302920974,-2.825225368,-1.086821831,-0.036336797,-0.230978476,-0.242443362
4,-1.333358184,-2.826788574,-1.016473426,-0.133771758,-0.155776725,0.495320316
5,-1.363188423,-2.685057579,-1.193577814,0.408753905,-0.068314801,0.126823448
3,-1.44736286,-2.609425639,-1.187251237,0.424479184,0.292150408,1.474525556
3,-1.379957164,-2.712156834,-1.133199569,0.374635277,-0.083585342,0.549997696
1,-1.395343816,-2.707945055,-1.047849734,0.078393376,0.598686921,1.887197965
5,-1.352023266,-2.83321897,-0.959094718,-0.190454489,-0.167125376,0.161055164
4,-1.381304872,-2.778768805,-1.02958012,0.093195244,-0.175816783,0.620430158
5,-1.326541619,-2.774227991,-1.137732875,0.255425269,-0.289100381,-0.326414803
5,-1.359590004,-2.754014438,-1.106449872,0.124727416,-0.110429913,0.327986708
5,-1.422874418,-2.720989104,-1.048581695,-0.101543752,0.186954291,1.543485279
5,-1.306976433,-2.826877514,-1.08211325,-0.03860099,-0.245180239,-0.159059423
5,-1.361427254,-2.628847498,-1.32067292,0.756230843,-0.094594465,-0.39125767
5,-1.336638577,-2.696359315,-1.264380344,0.51263318,-0.149708114,-0.475315249
5,-1.380022534,-2.629118671,-1.297945711,0.696827196,-0.056473445,-0.154283663
5,-1.347447363,-2.706139592,-1.20779225,0.493564093,-0.219222722,-0.31394191
5,-1.359401791,-2.78854357,-1.050118655,0.009936455,0.20121048,0.535634472
5,-1.345433274,-2.766502031,-1.109817353,0.18028105,-0.208947139,0.014296728
1,-1.388759536,-2.696272571,-1.10955347,0.260387463,0.156791468,1.344175674
1,-1.38034667,-2.695300889,-1.1357985,0.279513473,0.159626989,1.218456801
5,-1.351303726,-2.764393148,-1.085094912,0.153273335,-0.191411852,0.13139486
4,-1.363545694,-2.83902607,-0.94024845,-0.192290988,-0.203819424,0.848310292
1,-1.353720774,-2.834290795,-0.912911702,-0.395709329,0.394225681,1.875155292
1,-1.378487568,-2.69235705,-1.144024314,0.280228975,0.173604116,1.232058245
5,-1.350934846,-2.692476815,-1.249845542,0.463150754,-0.109872877,-0.17972286
1,-1.393938144,-2.760041781,-1.005282444,-0.065087917,0.159218311,1.738615769
5,-1.356203936,-2.893800381,-0.826356702,-0.507429521,-0.193719135,0.730119956
5,-1.373708299,-2.626528878,-1.319965805,0.714110699,-0.040904628,-0.266192894
1,-1.4329653,-2.604730036,-1.182806673,0.402466022,0.405562439,1.921492123
5,-1.386354621,-2.614762441,-1.317440529,0.66142032,0.035959991,0.117503858
5,-1.356736138,-2.758860368,-1.108930012,0.150079813,-0.152550199,0.256857642
1,-1.457237526,-2.720733045,-0.891090094,-0.35191462,0.531753112,2.853514838
5,-1.332457903,-2.75825063,-1.147905367,0.204385759,-0.173753447,-0.095515397
5,-1.371605314,-2.640850108,-1.287721265,0.75302261,-0.156100658,-0.379711247
5,-1.378168871,-2.633380159,-1.309186468,0.712521518,-0.078519477,-0.247691145
5,-1.363093779,-2.630930962,-1.340194581,0.758851621,-0.08760037,-0.450122192
1,-1.401813926,-2.621727629,-1.210642503,0.509945384,0.267413328,1.260700635
5,-1.367759288,-2.625025513,-1.339368791,0.73560411,-0.051130041,-0.283697426
5,-1.347333688,-2.696047113,-1.237957571,0.481997138,-0.13934868,-0.298453955
5,-1.36339641,-2.780285317,-1.098746736,0.175256563,-0.259456184,0.071298406
5,-1.337070158,-2.757808739,-1.11878426,0.186715552,-0.175183847,0.003794886
1,-1.40044083,-2.765184731,-0.992763103,-0.077276671,0.132397455,1.827807752
5,-1.330544822,-2.845177312,-1.018897685,-0.056740473,-0.336100224,-0.012504877
5,-1.347132842,-2.832071557,-1.009030507,-0.129512205,-0.222960408,0.330070722
5,-1.355568281,-2.784065376,-1.121871269,0.205459347,-0.282401879,-0.12255287
5,-1.355620556,-2.784261336,-1.105102902,0.20067468,-0.295360611,-0.070435536
5,-1.325123897,-2.765003773,-1.164679547,0.241167319,-0.224012893,-0.270556908
4,-1.348871388,-2.783962834,-1.099807295,0.184488531,-0.237521925,0.091519193
5,-1.353013254,-2.844248199,-0.999841738,-0.119594929,-0.288903054,0.29887888
5,-1.330282541,-2.698399574,-1.278389531,0.531209211,-0.178330046,-0.519832635
2,-1.374465547,-2.684541758,-1.166619287,0.300628471,0.144331077,1.062377018
5,-1.316629496,-2.765393966,-1.175144143,0.264206152,-0.239017102,-0.395618614
2,-1.389443651,-2.771549087,-1.00338886,-0.002163681,-0.000754092,1.388181062
5,-1.347444443,-2.826854971,-0.992882503,-0.141974322,-0.220668844,0.53052325
5,-1.320576316,-2.836154509,-1.039618527,-0.047415355,-0.305962086,0.002940058
5,-1.345759989,-2.702587659,-1.262877183,0.50891076,-0.177892445,-0.387613364
1,-1.407440835,-2.619778946,-1.195795145,0.489590699,0.274763341,1.423894293
2,-1.470452587,-2.646438276,-1.033643323,-0.014449001,0.499374868,2.808683013
5,-1.385502764,-2.772781881,-1.082799415,0.103776259,-0.173600969,0.43217696
5,-1.38014213,-2.743300421,-1.080245733,0.053387404,-0.037089581,0.835030241
5,-1.326327028,-2.85736104,-1.012395024,-0.014149284,-0.430642067,-0.154823543
5,-1.340820574,-2.845144255,-1.038312682,-0.075723173,-0.302470346,0.069379798
5,-1.310256368,-2.837613882,-1.047136827,-0.021379087,-0.333356443,-0.134634718
5,-1.304328685,-2.838364838,-1.08098528,0.001896979,-0.32987067,-0.28975112
5,-1.351805292,-2.688674786,-1.253101008,0.455616153,-0.088941818,-0.112203571
5,-1.324176808,-2.776702216,-1.174759375,0.269150967,-0.282790648,-0.460801568
5,-1.336980434,-2.768726108,-1.120600745,0.21820693,-0.246926468,-0.100736901
3,-1.383222495,-2.747955731,-1.055965355,-0.008292091,0.085196217,1.263561162
5,-1.371796283,-2.628392374,-1.313466656,0.717544056,-0.058180086,-0.291014294
5,-1.492045659,-2.664366643,-1.063505598,0.060346044,0.262896581,2.012071395
5,-1.38471951,-2.743514385,-1.098107761,0.049659983,-0.013648947,0.814053445
1,-1.358715904,-2.786063267,-1.041831526,0.08408987,-0.066540453,1.051512866
5,-1.389565695,-2.686936778,-1.198974215,0.368225851,-0.02650238,0.386670409
1,-1.344626845,-2.837540807,-0.924107491,-0.232205392,-0.040932673,1.402385496
5,-1.353235239,-2.697188112,-1.23734519,0.467129398,-0.137051452,-0.204872823
5,-1.353338869,-2.693844266,-1.212546656,0.465242384,-0.140415508,-0.109435456
5,-1.370266333,-2.678935835,-1.221115063,0.390834239,-0.008475849,0.243793184
5,-1.314834905,-2.851229996,-1.047240289,-0.00050891,-0.401759328,-0.249378378
5,-1.303384985,-2.844717457,-1.05702664,0.013553744,-0.384580465,-0.318670355
1,-1.338769692,-2.843170413,-0.951977165,-0.201283986,-0.077157261,1.257976904
5,-1.367065688,-2.714184661,-1.184960487,0.475735428,-0.245774379,-0.135095695
1,-1.399214087,-2.618925052,-1.22525862,0.523122107,0.273135732,1.269802149
1,-1.423069751,-2.700406251,-1.042279633,0.183163287,0.164674515,1.826458042
5,-1.353418204,-2.781156126,-1.098527118,0.201375468,-0.300980893,0.027263637
5,-1.318012068,-2.772903177,-1.171161827,0.280389225,-0.297123598,-0.383455211
5,-1.373683397,-2.744366492,-1.103858542,0.075263464,-0.042869156,0.697819027
5,-1.322439885,-2.766615821,-1.176883967,0.258682302,-0.243833191,-0.297851656
5,-1.349428546,-2.703592245,-1.211146355,0.492949795,-0.206978798,-0.251210409
1,-1.401737104,-2.714701794,-1.088938832,0.261417988,0.075127263,1.290872436
5,-1.351314588,-2.789307381,-1.119153603,0.232231111,-0.342510052,-0.139526832
5,-1.369904773,-2.763387938,-1.110262978,0.125861591,-0.146571178,0.356658284
5,-1.356246595,-2.770278461,-1.108473577,0.172204756,-0.222961189,0.153754993
5,-1.368973292,-2.757613351,-1.069659057,0.100509663,-0.134259568,0.494275533
5,-1.345082429,-2.848288866,-1.014165676,-0.084470125,-0.317534549,0.086488132
5,-1.357193141,-2.834583278,-0.992655315,-0.143488412,-0.23260434,0.466806622
5,-1.3692299,-2.636129974,-1.32509803,0.749715358,-0.122367745,-0.339709005
5,-1.367833484,-2.625664049,-1.333629682,0.732797991,-0.058083912,-0.266781204
5,-1.316394295,-2.772819065,-1.179175185,0.27620408,-0.286883192,-0.428746392
5,-1.327954821,-2.857509772,-1.032975325,-0.02190798,-0.408470499,-0.189035705
5,-1.354328912,-2.700606104,-1.237854712,0.470357663,-0.149528429,-0.252965489
1,-1.420324605,-2.696499251,-1.062131397,0.181260403,0.19161041,1.824309411
5,-1.327521884,-2.851927689,-1.059791939,-0.021665743,-0.366671127,-0.175739207
5,-1.374196454,-2.82867937,-1.001484756,-0.190051088,-0.161144165,0.731246043
5,-1.323022017,-2.838205134,-1.060805468,-0.042263577,-0.304229018,-0.018731387
5,-1.391356847,-2.626086769,-1.289231915,0.676080803,-0.032085493,0.050686313
5,-1.37434612,-2.633736921,-1.325097587,0.732310737,-0.082879813,-0.337222794
5,-1.362274794,-2.689706506,-1.199873962,0.431007153,-0.107734173,0.097089781
1,-1.396197929,-2.692798875,-1.103810737,0.232317198,0.18933494,1.494615716
5,-1.376490575,-2.741593456,-1.064905076,-0.131652466,1.457742365,1.586250373
5,-1.336785094,-2.787928669,-1.137077186,0.259679166,-0.346999274,-0.352885737
4,-1.341357447,-2.69373954,-1.237995893,0.470580984,-0.089059957,-0.011532077
5,-1.316841346,-2.76045158,-1.199480649,0.255488971,-0.205756654,-0.314203412
5,-1.308586622,-2.836597376,-1.090607114,-0.016568268,-0.306579155,-0.199904186
5,-1.381554615,-2.617458803,-1.320565118,0.690584371,0.003257134,0.025167489
